,0,cycle_Nr,Re(Z)0.00931323,-Im(Z)0.00931323,Re(Z)0.0139698,-Im(Z)0.0139698,Re(Z)0.0209548,-Im(Z)0.0209548,Re(Z)0.0325963,-Im(Z)0.0325963,Re(Z)0.0488944,-Im(Z)0.0488944,Re(Z)0.0721775,-Im(Z)0.0721775,Re(Z)0.107102,-Im(Z)0.107102,Re(Z)0.158325,-Im(Z)0.158325,Re(Z)0.235159,-Im(Z)0.235159,Re(Z)0.349246,-Im(Z)0.349246,Re(Z)0.516884,-Im(Z)0.516884,Re(Z)0.768341,-Im(Z)0.768341,Re(Z)1.14087,-Im(Z)1.14087,Re(Z)1.69268,-Im(Z)1.69268,Re(Z)2.51224,-Im(Z)2.51224,Re(Z)3.72762,-Im(Z)3.72762,Re(Z)5.53438,-Im(Z)5.53438,Re(Z)8.21194,-Im(Z)8.21194,Re(Z)12.184,-Im(Z)12.184,Re(Z)18.077,-Im(Z)18.077,Re(Z)26.8198,-Im(Z)26.8198,Re(Z)39.8047,-Im(Z)39.8047,Re(Z)59.0552,-Im(Z)59.0552,Re(Z)87.684,-Im(Z)87.684,Re(Z)130.089,-Im(Z)130.089,Re(Z)193.035,-Im(Z)193.035,Re(Z)286.568,-Im(Z)286.568,Re(Z)425.149,-Im(Z)425.149,Re(Z)630.738,-Im(Z)630.738,Re(Z)936.063,-Im(Z)936.063,Re(Z)1390.0,-Im(Z)1390.0,Re(Z)2063.0,-Im(Z)2063.0,Re(Z)3061.0,-Im(Z)3061.0,Re(Z)4542.0,-Im(Z)4542.0,Re(Z)6740.0,-Im(Z)6740.0,Re(Z)10001.0,-Im(Z)10001.0,I(uA),Q_relative
7,,8.0,2655.54,776.435,2500.6,716.115,2372.18,600.641,2217.31,550.323,2098.39,503.969,1989.57,466.788,1894.34,436.218,1794.38,404.288,1694.46,375.83,1599.58,352.889,1517.71,333.07,1435.41,309.513,1362.1,291.152,1294.3,271.479,1230.05,254.192,1170.85,237.349,1116.18,222.272,1065.09,208.759,1017.45,197.931,972.583,189.717,929.9,184.096,888.212,181.666,846.257,181.817,803.685,185.08,759.467,189.485,713.024,196.516,663.496,204.395,610.272,212.503,553.061,218.918,493.792,223.56,431.051,222.419,367.254,215.089,307.487,201.624,253.428,181.267,208.706,159.139,173.578,131.576,200.0,0.6
8,,9.0,2744.77,803.88,2547.24,705.415,2435.83,634.255,2276.13,560.743,2150.67,509.923,2038.36,478.27,1922.86,445.978,1823.72,418.237,1729.63,391.478,1634.51,365.406,1549.5,346.703,1465.49,322.826,1389.07,303.401,1316.16,282.971,1248.47,262.848,1185.45,245.822,1127.61,228.995,1074.5,215.307,1024.95,202.902,977.826,193.984,932.783,187.405,890.224,184.454,846.673,184.217,802.961,186.706,756.48,190.36,709.926,196.536,660.084,203.676,607.402,210.712,551.274,216.848,492.212,219.458,431.374,218.553,370.193,211.716,312.626,198.717,259.172,179.985,213.615,158.05,172.276,131.362,200.0,0.59
9,,10.0,2747.33,802.619,2585.97,729.689,2463.06,626.889,2296.7,575.925,2169.19,527.458,2053.77,489.5,1939.14,454.931,1839.87,424.216,1741.93,398.12,1643.33,374.895,1554.91,354.354,1465.16,330.572,1385.57,309.695,1309.47,288.274,1240.36,268.343,1177.24,249.468,1119.03,232.85,1065.07,217.794,1014.48,205.804,968.282,196.507,923.246,189.846,880.158,186.748,836.143,186.185,791.66,187.962,746.862,191.821,698.749,196.09,648.915,201.611,597.143,206.816,542.039,210.588,485.415,212.953,427.358,210.791,368.976,204.528,313.123,192.158,262.063,174.6,217.486,154.87,182.073,135.848,200.0,0.58
10,,11.0,5220.34,1521.29,4901.3,1444.79,4582.4,1247.69,4240.91,1172.12,3960.51,1079.74,3736.94,998.463,3507.72,918.914,3282.1,839.111,3075.73,773.803,2897.56,720.683,2734.42,657.182,2588.57,604.028,2446.33,556.177,2322.89,510.716,2207.71,469.645,2102.83,434.894,2005.78,406.394,1915.28,385.623,1829.22,371.282,1745.11,364.487,1660.41,363.996,1573.84,369.459,1484.79,379.156,1390.65,392.713,1290.45,407.742,1183.17,423.433,1069.12,435.146,949.387,442.466,826.447,441.97,703.248,429.401,583.888,405.771,474.465,370.995,377.71,328.724,298.112,280.915,234.23,233.856,191.438,196.808,200.0,0.57
11,,21.0,3007.51,888.601,2860.17,787.707,2687.01,673.639,2534.66,631.946,2397.4,586.355,2267.63,542.735,2142.6,507.019,2025.08,475.089,1907.7,446.516,1797.17,424.077,1697.67,395.867,1599.38,372.098,1511.11,346.374,1427.91,322.174,1351.41,299.948,1280.65,280.18,1215.56,264.494,1155.05,251.684,1096.96,242.567,1040.68,236.906,983.867,234.055,927.241,232.348,868.916,231.515,809.867,230.417,751.162,227.995,692.98,223.631,634.996,218.185,579.601,212.39,526.266,204.972,475.918,199.222,424.971,191.068,376.235,182.954,329.675,172.497,285.217,160.974,244.62,147.561,211.506,132.434,200.0,0.51
12,,31.0,3063.87,892.603,2921.04,793.749,2715.87,691.407,2569.18,635.657,2420.08,591.675,2298.13,550.201,2162.79,513.175,2034.69,480.184,1917.14,452.791,1809.99,429.058,1713.09,400.428,1616.1,375.81,1527.46,350.856,1445.1,326.484,1368.84,306.049,1298.4,287.218,1232.47,271.662,1169.49,259.343,1108.99,250.986,1049.84,246.392,990.531,244.053,929.513,242.618,867.748,241.391,805.263,239.121,742.816,235.195,683.18,228.856,624.48,221.691,569.296,213.38,514.778,204.946,464.509,195.298,415.703,185.873,369.041,176.795,325.381,166.038,283.798,155.321,244.745,142.584,210.142,124.071,200.0,0.48
13,,41.0,3160.94,870.888,2957.0,781.214,2852.32,722.371,2659.91,648.622,2513.31,597.56,2370.97,562.04,2244.05,529.597,2124.95,499.05,2005.5,466.652,1889.71,434.192,1780.57,411.124,1683.16,380.141,1590.02,356.644,1506.4,334.116,1427.3,312.414,1355.43,294.23,1289.24,279.366,1225.47,267.507,1163.51,259.917,1102.11,255.253,1040.94,253.25,978.322,253.766,914.476,253.882,848.941,252.06,782.984,248.783,718.824,243.863,656.682,236.949,596.872,228.172,539.424,218.216,483.924,207.514,431.915,197.276,383.246,186.267,336.675,175.211,292.973,163.0,252.437,150.029,217.835,141.161,200.0,0.46
14,,51.0,3309.36,928.158,3085.89,787.14,2927.6,746.442,2752.72,658.18,2602.17,608.807,2452.9,571.038,2320.53,539.62,2194.66,511.625,2073.25,481.045,1957.45,447.24,1845.72,422.693,1746.45,392.184,1652.2,369.348,1564.66,344.911,1484.58,323.155,1409.62,304.66,1339.49,289.897,1273.07,277.984,1209.58,270.789,1146.0,266.712,1080.78,265.666,1015.18,266.776,947.509,266.975,877.947,266.002,809.085,262.7,739.788,256.771,674.464,249.011,610.89,239.526,551.273,228.985,494.135,216.59,439.793,204.177,389.455,192.38,341.469,179.854,297.738,167.12,255.368,153.819,221.824,135.822,200.0,0.45
15,,61.0,3442.83,950.003,3282.84,851.159,3065.37,748.695,2910.61,695.747,2753.52,650.527,2622.79,607.119,2474.97,567.82,2338.13,532.886,2211.89,503.491,2093.55,477.612,1985.54,445.619,1876.69,419.829,1778.09,392.021,1684.25,365.651,1598.89,343.692,1518.24,324.002,1443.94,307.712,1372.43,295.801,1303.77,288.754,1235.58,285.181,1166.28,284.984,1095.28,286.249,1021.89,287.714,947.176,287.547,871.984,285.294,796.809,279.444,724.217,271.505,654.759,261.86,589.334,249.335,526.326,237.165,467.59,223.95,411.502,210.418,359.744,196.124,311.267,181.963,265.472,166.537,218.73,150.042,200.0,0.44
16,,71.0,3625.64,981.726,3414.99,844.923,3240.28,815.402,3060.19,721.606,2894.74,668.781,2739.81,628.138,2592.35,591.708,2447.57,561.631,2313.88,529.389,2191.25,493.589,2069.85,464.756,1964.09,434.401,1858.87,407.252,1763.73,382.175,1674.7,359.331,1591.68,339.371,1513.18,323.623,1438.55,312.23,1366.01,305.044,1294.7,302.143,1220.39,303.311,1144.98,304.269,1067.04,306.036,987.266,305.528,906.472,303.119,827.437,296.77,750.471,287.826,676.418,275.941,606.722,263.048,540.827,248.511,479.234,233.418,421.528,218.606,367.717,204.146,317.095,188.59,270.461,172.255,232.025,151.702,200.0,0.44
17,,81.0,3891.91,1008.6,3670.83,938.403,3498.61,824.233,3277.07,772.94,3087.15,716.481,2932.92,675.717,2769.76,633.844,2625.49,593.506,2486.25,557.258,2348.82,524.83,2225.94,497.856,2104.63,462.681,1993.83,435.269,1891.31,407.626,1794.97,383.66,1705.87,362.908,1621.59,346.304,1541.25,334.287,1463.43,327.301,1385.48,325.173,1306.34,325.574,1224.68,327.644,1141.04,330.746,1054.6,331.129,967.094,328.555,880.895,322.037,797.743,312.378,717.194,299.787,641.104,285.893,569.741,269.821,503.522,253.123,440.613,236.799,383.247,219.788,328.901,202.717,279.113,184.141,231.765,157.485,200.0,0.43
