,0,cycle_Nr,Re(Z)0.00931323,-Im(Z)0.00931323,Re(Z)0.0139698,-Im(Z)0.0139698,Re(Z)0.0209548,-Im(Z)0.0209548,Re(Z)0.0325963,-Im(Z)0.0325963,Re(Z)0.0488944,-Im(Z)0.0488944,Re(Z)0.0721775,-Im(Z)0.0721775,Re(Z)0.107102,-Im(Z)0.107102,Re(Z)0.158325,-Im(Z)0.158325,Re(Z)0.235159,-Im(Z)0.235159,Re(Z)0.349246,-Im(Z)0.349246,Re(Z)0.516884,-Im(Z)0.516884,Re(Z)0.768341,-Im(Z)0.768341,Re(Z)1.14087,-Im(Z)1.14087,Re(Z)1.69268,-Im(Z)1.69268,Re(Z)2.51224,-Im(Z)2.51224,Re(Z)3.72762,-Im(Z)3.72762,Re(Z)5.53438,-Im(Z)5.53438,Re(Z)8.21194,-Im(Z)8.21194,Re(Z)12.184,-Im(Z)12.184,Re(Z)18.077,-Im(Z)18.077,Re(Z)26.8198,-Im(Z)26.8198,Re(Z)39.8047,-Im(Z)39.8047,Re(Z)59.0552,-Im(Z)59.0552,Re(Z)87.684,-Im(Z)87.684,Re(Z)130.089,-Im(Z)130.089,Re(Z)193.035,-Im(Z)193.035,Re(Z)286.568,-Im(Z)286.568,Re(Z)425.149,-Im(Z)425.149,Re(Z)630.738,-Im(Z)630.738,Re(Z)936.063,-Im(Z)936.063,Re(Z)1390.0,-Im(Z)1390.0,Re(Z)2063.0,-Im(Z)2063.0,Re(Z)3061.0,-Im(Z)3061.0,Re(Z)4542.0,-Im(Z)4542.0,Re(Z)6740.0,-Im(Z)6740.0,Re(Z)10001.0,-Im(Z)10001.0,I(uA),Q_relative
10,,11.0,1315.86,441.911,1240.47,364.148,1154.06,324.932,1094.37,284.439,1041.01,259.067,981.484,233.464,934.92,214.556,885.869,198.383,837.863,182.923,792.713,169.143,752.368,157.198,716.149,144.192,680.991,133.085,650.49,122.087,622.743,112.619,597.796,103.875,574.168,96.7785,552.92,90.8213,533.294,85.8262,514.241,82.8558,495.814,81.5534,477.354,82.7872,458.051,84.8435,437.958,87.9259,415.83,92.1775,392.651,96.6097,367.294,100.661,339.874,104.019,311.444,105.587,283.275,104.822,254.099,102.232,227.393,98.0292,201.583,91.2006,178.574,83.4811,158.397,76.4529,139.494,71.3658,20.0,0.61
11,,31.0,1793.04,496.661,1689.97,450.363,1613.19,387.669,1510.32,353.267,1426.14,319.255,1366.04,295.849,1296.72,273.043,1231.64,250.701,1171.42,231.295,1115.75,215.942,1069.81,202.429,1022.61,186.929,980.008,174.361,941.413,162.451,905.678,151.99,871.796,143.093,839.862,137.414,809.596,133.716,779.496,132.839,749.017,135.288,717.292,139.914,681.808,147.194,643.859,155.346,601.759,163.136,557.102,169.123,510.27,171.817,462.675,171.442,415.909,166.616,370.593,159.368,328.8,149.167,290.454,136.83,256.878,124.701,227.165,112.563,200.724,101.684,178.355,91.1612,157.512,83.127,20.0,0.54
12,,41.0,2028.11,550.04,1888.07,478.564,1795.08,444.868,1677.47,387.408,1594.9,350.71,1510.24,327.48,1443.1,305.63,1369.66,284.741,1299.37,263.814,1235.33,242.17,1175.84,226.786,1125.03,209.14,1076.37,195.1,1032.45,182.86,991.302,170.91,954.193,161.966,918.563,156.241,884.205,152.872,850.65,152.98,816.103,156.542,779.125,163.018,739.555,171.573,694.682,180.101,646.407,188.755,593.372,193.46,539.876,194.043,486.319,191.08,435.136,183.735,386.354,172.702,342.348,160.393,302.205,146.082,266.397,131.578,235.471,118.701,208.264,106.992,185.024,95.6517,162.682,87.2188,20.0,0.53
13,,51.0,2206.06,602.946,2105.61,540.437,1995.42,466.553,1887.41,435.389,1789.46,402.069,1704.29,370.393,1625.01,344.782,1537.24,317.945,1454.61,295.398,1381.82,277.362,1319.25,256.255,1258.42,239.899,1204.98,222.288,1154.31,207.242,1108.2,194.737,1065.11,185.1,1024.53,179.033,984.761,175.543,945.0,175.621,904.15,180.449,861.638,187.445,814.286,197.174,762.752,206.68,706.043,214.364,646.984,218.615,585.88,217.956,525.954,212.986,468.463,203.16,415.92,190.614,366.976,175.245,323.93,159.605,285.898,143.861,252.332,129.032,222.888,115.747,197.586,103.804,173.796,90.8005,20.0,0.53
14,,61.0,2501.63,646.723,2347.11,595.119,2242.77,523.692,2096.38,483.065,1976.47,441.005,1888.06,414.014,1802.33,388.197,1704.86,358.888,1611.96,331.447,1527.01,307.006,1456.47,288.436,1390.09,265.801,1330.44,249.084,1276.49,233.053,1224.56,220.064,1175.7,210.031,1129.41,202.827,1084.68,200.294,1039.53,201.869,992.973,206.71,943.147,214.811,888.695,224.844,828.738,235.033,764.468,241.659,697.281,244.752,629.992,242.15,563.508,234.64,501.346,221.473,443.602,205.674,392.007,188.881,346.403,171.205,305.921,154.39,270.238,138.563,238.897,124.355,210.659,111.747,187.622,104.643,20.0,0.53
15,,71.0,2698.62,691.56,2553.59,646.911,2421.78,552.19,2272.27,517.381,2161.17,481.956,2048.06,447.742,1950.58,419.197,1851.35,389.567,1751.27,361.695,1658.1,335.033,1575.84,314.707,1504.43,291.588,1435.18,272.131,1374.65,254.741,1318.09,240.884,1265.97,230.578,1216.0,223.259,1166.11,220.457,1116.5,221.791,1065.41,227.798,1010.44,236.969,950.425,247.85,884.288,258.16,813.609,265.334,739.534,267.251,665.811,263.95,595.587,254.14,527.999,239.328,466.193,221.769,411.269,202.166,362.716,182.896,319.54,164.468,282.45,147.154,249.25,131.889,219.095,118.434,197.86,105.018,20.0,0.52
16,,81.0,2899.26,753.065,2769.6,676.18,2602.55,591.988,2466.59,558.987,2333.62,520.612,2210.99,482.993,2092.01,449.731,1993.27,419.832,1895.05,392.72,1797.23,365.286,1705.81,342.41,1624.48,319.574,1546.86,296.404,1476.86,277.881,1411.05,263.232,1350.99,251.439,1293.29,244.096,1237.98,240.977,1182.22,242.455,1124.68,248.508,1063.48,257.579,998.037,268.153,926.862,278.628,850.783,285.124,771.947,286.121,693.927,281.46,618.157,269.318,548.53,253.364,484.441,233.751,427.546,212.434,376.757,192.195,332.33,172.859,294.103,155.038,259.503,139.789,227.311,125.007,205.868,113.69,20.0,0.51
0,,1.0,47839.1,50413.4,45213.5,43013.3,39297.8,37037.6,37154.7,32157.7,36408.7,28221.1,34994.0,24346.6,33725.3,20594.7,32524.8,17238.6,31078.3,14133.8,29290.6,11443.0,27660.6,9325.88,26165.5,7759.32,24936.1,6703.8,23776.3,5961.99,22702.1,5510.95,21634.0,5330.56,20524.5,5361.49,19311.0,5564.21,17932.9,5861.18,16371.9,6165.69,14653.3,6382.73,12838.1,6437.68,11017.4,6299.64,9277.8,5978.66,7693.32,5518.19,6296.73,4973.72,5093.87,4396.72,4075.66,3827.94,3219.17,3286.67,2506.89,2785.31,1921.36,2324.24,1451.91,1909.94,1083.02,1541.08,800.732,1223.91,590.966,958.268,839.417,480.097,20.0,0.73
1,,2.0,4508.07,756.133,4318.28,734.437,4176.67,677.652,3975.88,645.17,3829.57,614.98,3665.2,590.106,3536.09,570.411,3413.34,550.492,3276.12,529.186,3136.62,507.022,3002.63,494.328,2880.0,474.881,2759.75,460.922,2643.93,447.745,2534.58,435.184,2430.87,425.012,2328.47,417.138,2228.98,411.984,2130.12,409.857,2031.32,410.239,1932.16,411.279,1831.39,414.823,1728.93,418.933,1624.88,425.196,1519.84,432.366,1411.83,441.022,1299.08,449.398,1183.1,457.416,1062.72,462.187,939.199,461.9,813.55,454.216,689.868,437.951,571.888,411.759,462.284,377.586,365.056,334.295,287.132,290.121,20.0,0.73
2,,3.0,1244.03,397.028,1148.12,353.669,1089.11,328.436,1002.77,290.305,933.333,262.77,878.446,245.917,822.718,228.809,769.302,212.503,719.233,197.095,673.45,181.581,628.989,170.208,591.414,157.722,553.252,146.652,518.431,136.104,487.286,125.785,457.437,116.088,430.493,107.242,405.041,98.8253,382.04,91.2032,360.46,84.4338,340.738,77.7248,322.547,72.2239,305.329,67.3574,289.744,63.2298,275.528,59.5818,261.545,56.9722,248.289,55.2722,235.89,54.0391,222.907,53.8501,210.313,54.3204,197.197,55.2456,183.441,56.9449,169.317,58.6335,153.143,60.6886,136.508,61.4066,116.812,59.2133,20.0,0.68
3,,4.0,787.251,276.575,738.906,252.153,681.844,212.724,633.487,193.967,589.479,176.314,553.394,159.445,516.101,144.826,484.45,132.62,454.161,122.299,425.793,113.341,400.933,104.014,375.593,95.7197,353.442,88.1318,332.643,80.9828,313.208,74.1032,295.941,68.1197,280.345,62.0309,266.337,56.8011,253.335,51.7942,241.53,48.1873,230.915,44.4932,220.325,41.6318,211.913,39.6279,202.243,37.7836,194.204,36.9634,185.831,36.1803,177.391,36.8581,168.673,36.9926,159.68,37.6629,150.56,39.3372,140.466,40.3142,129.673,41.6647,117.613,42.3519,106.399,42.4091,94.5485,41.1411,81.2849,38.6938,20.0,0.66
4,,5.0,774.809,274.759,735.39,240.704,682.899,206.137,635.274,188.537,591.778,169.667,557.286,153.177,524.542,139.889,490.229,127.088,458.528,117.1,430.487,108.332,406.025,99.8052,382.077,91.9918,361.057,84.4673,341.842,77.6101,324.726,71.2663,308.609,64.6881,294.111,58.8836,281.369,54.0529,269.511,49.9503,258.839,45.433,249.275,43.2666,239.802,41.1783,231.52,39.4828,222.297,38.9559,213.615,38.4557,204.461,39.1371,195.514,40.3286,185.387,42.0118,174.582,44.0983,163.222,46.3817,150.841,47.7841,137.401,48.9173,124.324,48.9614,110.61,47.7974,96.9754,44.96,84.8526,40.6677,20.0,0.69
5,,6.0,846.758,297.791,787.918,245.281,728.404,223.99,683.889,194.835,640.384,175.315,603.446,159.507,566.338,146.055,530.069,134.707,498.483,124.376,470.753,115.274,445.257,105.837,420.748,97.9243,398.756,89.5287,378.657,81.7403,360.199,74.458,343.496,67.1059,328.029,61.2008,314.467,55.6888,301.394,51.2268,290.729,47.5731,279.888,44.5799,269.927,42.7678,260.281,42.389,250.401,42.2726,241.016,43.2127,230.623,44.2575,219.876,46.4778,208.265,49.2164,195.211,51.8272,181.253,54.5387,166.022,55.943,150.135,56.892,134.937,55.3523,119.241,53.8132,104.573,49.7515,91.6521,45.4226,20.0,0.63
6,,7.0,942.548,312.337,879.91,286.234,828.358,239.346,767.885,216.741,720.837,196.094,676.553,178.12,640.696,164.484,605.269,151.103,569.177,138.552,536.071,126.778,504.759,117.079,477.504,108.224,451.906,98.073,429.137,89.3013,408.983,81.2549,390.964,73.9853,374.507,67.3264,360.088,61.6177,346.971,56.437,334.859,53.223,323.3,50.3609,312.044,48.8417,301.599,48.5516,290.988,49.2361,279.446,50.9626,267.396,53.8994,253.917,57.0252,239.111,59.5615,222.964,63.0728,206.377,65.701,188.225,67.1634,169.353,66.8632,150.453,64.8362,132.954,61.5308,116.048,56.8426,102.371,49.4271,20.0,0.62
7,,8.0,1043.48,343.806,964.126,292.719,907.683,272.455,843.544,232.433,792.584,208.215,749.357,191.486,701.742,174.471,662.663,162.046,627.262,150.074,594.768,138.678,563.405,127.448,533.497,115.426,506.783,106.128,481.529,96.9267,459.358,88.1941,438.913,79.7314,420.99,72.7267,404.938,66.6245,390.077,61.7274,376.033,58.014,363.336,56.2987,351.141,54.6073,338.66,55.1478,326.153,56.3982,312.566,58.9776,297.435,61.9483,282.244,65.7577,264.921,69.9701,246.402,72.4249,226.268,75.3023,205.557,76.4393,184.541,75.4679,163.691,72.5574,145.192,68.2787,126.283,62.3298,110.731,57.961,20.0,0.62
8,,9.0,1134.11,360.922,1046.04,325.807,994.526,281.02,922.611,249.49,867.346,224.258,817.224,206.041,769.604,188.9,732.002,174.796,693.756,161.32,657.048,147.91,621.422,135.48,587.942,124.245,559.408,113.629,532.474,103.479,508.352,94.0343,486.868,85.9402,467.25,78.5287,449.754,72.025,433.919,67.147,419.724,63.8456,405.822,61.9003,391.855,61.5709,377.684,62.2222,363.911,64.9782,348.354,67.8292,331.665,72.2855,312.746,76.7591,292.67,80.9839,270.461,84.213,247.5,86.4461,223.34,86.929,200.05,84.91,177.696,80.6378,156.819,75.4595,137.61,69.1038,118.391,61.3251,20.0,0.61
9,,10.0,1179.78,378.727,1110.18,345.095,1042.82,287.808,971.911,261.437,915.266,236.673,865.042,215.604,822.029,198.018,775.636,181.671,731.613,166.632,690.403,151.965,653.172,140.852,620.661,129.118,591.107,117.481,564.462,106.856,540.618,97.8416,519.086,89.3905,499.647,82.2633,482.418,76.2369,465.422,71.6553,450.985,68.8081,436.106,67.5437,421.673,67.7924,406.566,69.2518,390.082,72.7308,372.859,76.2203,353.338,81.0414,332.073,85.8555,309.038,89.6313,284.556,92.6653,258.466,93.3914,233.177,92.7306,207.8,90.3427,183.815,84.9008,162.144,78.5064,142.504,71.4602,126.172,63.379,20.0,0.59
10,,11.0,1289.59,418.584,1219.99,376.293,1138.58,315.021,1064.38,287.104,999.147,260.637,946.352,237.608,896.053,218.903,843.431,199.826,795.298,183.86,750.917,168.623,710.749,156.245,676.026,144.154,642.385,130.689,612.646,119.415,585.665,109.316,561.086,99.5133,539.103,92.0279,518.761,85.1519,500.033,79.6442,482.799,76.7006,466.513,74.7092,449.385,74.7052,432.405,76.1491,414.398,79.3988,394.403,82.9283,372.791,87.164,350.507,92.1355,325.465,95.6971,299.119,98.8016,271.589,99.3231,244.119,97.8744,217.866,94.9294,192.416,89.8233,169.504,83.9169,149.602,76.1524,130.006,67.777,20.0,0.64
11,,21.0,1543.95,459.41,1468.3,409.232,1363.1,348.375,1289.8,316.747,1216.89,289.415,1152.22,262.359,1090.05,239.699,1036.37,221.399,984.768,203.837,936.113,190.093,892.109,173.401,849.146,160.302,811.741,147.049,777.336,134.501,745.893,124.22,717.28,115.091,692.087,108.283,667.361,103.698,644.801,101.004,622.46,100.723,599.286,103.706,574.696,108.653,548.852,115.098,519.492,122.218,487.485,129.5,452.604,135.261,415.18,138.63,377.041,139.17,338.344,136.839,301.434,131.301,266.668,123.243,235.51,114.356,207.88,104.392,182.932,95.0337,160.235,85.3475,140.277,77.9485,20.0,0.59
12,,31.0,1764.06,498.189,1644.85,429.763,1561.36,403.954,1465.92,350.892,1387.63,318.102,1323.49,296.016,1253.9,274.2,1188.11,254.715,1129.86,235.516,1075.82,215.223,1026.41,201.635,980.995,183.759,939.536,171.013,901.688,157.268,867.273,145.808,834.632,136.882,804.945,129.778,776.299,124.869,749.042,123.619,720.836,124.757,691.739,129.413,660.386,135.498,625.781,143.782,588.135,152.079,545.926,159.814,501.213,164.135,455.063,166.02,409.443,163.867,365.028,157.774,322.462,149.037,283.598,137.667,249.761,126.191,219.361,114.586,192.449,103.363,168.885,93.0184,144.063,82.7649,20.0,0.52
13,,41.0,1990.57,555.379,1846.25,470.157,1744.3,441.375,1638.53,383.304,1551.83,350.601,1467.95,324.226,1397.64,303.377,1326.24,283.992,1257.27,263.561,1194.61,241.758,1134.53,224.913,1083.76,205.813,1035.23,190.718,991.971,176.354,952.438,164.834,916.283,155.078,882.688,148.19,851.049,144.199,819.681,143.237,788.078,145.642,754.025,151.301,717.642,158.865,677.27,167.795,632.155,176.36,583.675,182.022,532.503,185.786,481.264,183.983,431.383,179.084,383.573,169.753,339.076,158.173,298.903,145.42,263.047,131.807,232.269,118.557,204.752,106.559,180.603,95.5433,159.497,87.9892,20.0,0.51
14,,51.0,2184.05,590.824,2069.92,533.738,1952.49,460.333,1836.02,429.038,1740.11,395.788,1649.9,363.322,1573.75,337.706,1492.59,311.791,1412.52,289.139,1340.99,270.697,1278.16,249.733,1218.56,232.583,1165.83,214.765,1116.3,199.393,1072.49,186.382,1031.35,176.539,993.011,168.937,955.204,164.6,918.824,164.327,881.716,167.463,842.823,173.664,799.568,181.92,753.232,191.051,702.232,199.097,646.54,205.033,590.041,205.728,533.808,202.808,478.59,195.038,427.569,183.867,380.654,170.036,337.767,155.69,300.38,141.113,267.49,127.303,237.78,113.982,212.5,103.191,188.907,95.9171,20.0,0.5
15,,61.0,2439.4,627.006,2288.32,586.515,2180.85,509.651,2041.8,468.611,1934.76,430.502,1840.14,403.564,1743.43,375.923,1663.51,349.824,1583.77,324.809,1503.29,300.804,1431.57,281.46,1363.8,257.35,1302.4,240.064,1246.66,223.305,1194.22,209.18,1146.05,197.918,1101.17,189.804,1057.61,185.829,1016.15,185.361,973.139,188.76,928.353,195.589,879.079,204.509,824.91,214.2,767.472,222.508,706.747,227.577,644.649,227.899,581.921,223.404,522.054,213.863,465.976,200.898,415.0,185.61,370.23,169.803,330.051,153.937,294.728,138.539,262.301,125.13,233.316,112.983,211.97,100.069,20.0,0.36
16,,71.0,2915.42,704.094,2733.16,614.827,2610.15,578.766,2459.59,511.704,2350.59,471.447,2229.2,441.333,2126.68,413.896,2038.94,390.433,1949.49,364.674,1861.46,335.729,1775.32,314.029,1702.35,290.06,1631.51,270.461,1567.7,254.116,1507.71,239.138,1453.01,228.316,1400.18,220.23,1350.82,217.16,1301.48,217.905,1251.51,223.001,1198.36,231.857,1140.78,243.626,1078.62,256.504,1009.35,267.509,936.543,274.192,860.723,275.433,786.75,271.237,714.239,261.43,646.384,247.99,584.22,232.51,527.492,216.205,475.879,200.106,428.41,185.207,384.83,171.852,344.097,159.52,308.894,147.498,20.0,0.34
17,,81.0,3052.83,656.353,2901.62,620.676,2785.5,540.442,2633.51,502.606,2507.61,463.518,2417.3,438.725,2313.3,412.551,2211.44,386.516,2120.05,363.488,2035.72,339.675,1955.57,319.505,1881.63,300.779,1813.01,280.661,1748.18,265.218,1686.84,251.062,1629.93,240.86,1575.48,233.318,1522.78,230.916,1470.05,233.605,1415.01,240.672,1357.37,252.848,1294.02,267.797,1223.31,283.49,1146.02,297.623,1063.24,307.193,977.03,310.882,890.452,308.217,807.54,299.148,729.311,285.439,656.786,268.535,589.856,250.573,528.929,232.857,474.249,216.015,423.113,200.252,373.503,186.285,332.843,175.084,20.0,0.36
0,,1.0,52484.4,50608.8,43048.2,43504.8,41057.7,39614.4,38316.2,35761.4,35661.1,30749.0,33883.3,26712.1,32571.6,22860.5,31418.5,19354.0,30266.5,16242.2,28965.3,13450.2,27089.5,11008.3,25571.1,9045.61,24207.6,7505.23,23077.3,6443.41,22064.6,5741.48,21093.0,5326.33,20115.3,5164.07,19061.3,5214.03,17879.7,5409.75,16545.9,5678.97,15045.2,5934.76,13408.2,6098.18,11701.5,6121.14,9988.98,5978.53,8348.64,5676.75,6837.15,5248.26,5490.86,4730.79,4328.33,4163.52,3349.65,3582.56,2548.28,3019.02,1906.87,2492.94,1407.68,2017.94,1028.81,1600.66,750.356,1249.25,550.535,962.099,63.3383,363.751,50.0,0.71
1,,2.0,6139.23,825.648,5906.41,843.881,5714.29,782.711,5486.87,766.933,5275.52,729.93,5128.87,704.079,4934.93,669.959,4769.03,636.598,4623.4,609.855,4478.7,590.084,4348.74,576.717,4209.21,556.063,4074.65,544.485,3943.32,530.689,3814.75,524.891,3690.43,522.076,3564.3,526.145,3438.23,538.714,3306.6,559.684,3168.43,588.324,3020.76,622.482,2859.78,660.211,2688.02,699.522,2501.96,738.006,2304.75,771.552,2095.36,798.498,1876.88,816.515,1653.09,820.359,1426.9,808.317,1205.8,779.326,995.182,730.8,803.429,667.36,634.949,592.264,491.812,511.691,376.361,431.225,278.154,359.482,50.0,0.65
2,,3.0,2524.74,691.989,2345.55,630.897,2241.16,561.798,2086.11,508.557,1963.72,468.363,1863.91,444.278,1761.67,420.303,1661.06,394.677,1564.43,370.104,1471.52,351.167,1392.57,333.863,1310.84,316.423,1236.29,296.487,1166.49,279.154,1100.6,261.718,1038.55,245.271,980.492,228.358,926.852,212.664,877.12,199.375,830.892,186.382,788.235,175.465,748.172,166.464,709.656,159.579,672.782,154.813,637.112,151.864,601.203,151.971,564.959,154.292,527.094,157.749,487.428,162.716,445.206,166.893,399.324,171.287,351.054,171.226,302.735,168.336,255.494,160.754,212.192,148.656,169.929,136.209,50.0,0.62
3,,4.0,1043.42,343.757,977.198,313.493,919.804,270.236,848.304,248.859,789.081,225.406,740.551,207.615,696.449,192.316,652.633,176.694,608.888,163.394,567.922,152.944,532.208,143.761,497.079,132.557,465.617,124.435,436.32,114.99,409.729,107.118,384.599,98.6357,362.002,90.8462,341.592,83.4441,322.62,76.1734,304.949,70.4178,289.283,65.189,274.774,60.6469,261.084,56.1531,247.916,53.4626,236.089,51.6815,223.696,49.8759,212.173,49.5768,200.601,49.2338,188.563,49.8516,176.527,50.94,162.473,51.988,148.935,52.0289,134.639,52.5088,120.277,51.388,106.16,49.3199,94.1661,45.5279,50.0,0.6
4,,5.0,1019.62,341.712,941.656,284.809,869.419,264.35,811.374,231.788,760.182,211.48,708.517,194.079,661.656,180.455,620.402,169.781,581.856,158.829,545.19,147.574,507.975,138.525,475.072,127.658,443.818,118.976,415.247,109.746,388.931,100.299,364.97,91.839,343.393,82.9716,324.081,76.0205,307.495,69.1365,291.672,63.1886,277.551,58.2149,263.996,54.5539,252.845,51.4218,241.34,48.7122,230.108,47.7137,219.175,46.6395,208.214,47.2546,196.98,47.9995,185.373,49.1251,173.008,50.5952,159.827,51.3971,145.585,52.1095,131.493,51.8324,116.924,50.0504,103.107,47.3658,89.0292,43.1799,50.0,0.59
5,,6.0,1189.75,368.906,1097.29,328.569,1038.77,306.193,958.114,271.239,896.958,247.851,838.308,230.333,783.978,216.027,737.569,203.078,691.911,189.578,645.095,176.487,602.045,167.091,560.686,153.766,523.257,142.541,487.896,130.787,456.721,119.182,428.936,108.719,403.884,98.0134,381.634,89.6736,361.928,81.2352,343.706,74.6476,327.15,68.8348,312.173,64.2634,298.091,60.7773,284.735,58.6058,271.414,57.4193,258.779,57.0091,244.714,57.4649,231.149,58.7399,216.304,60.2155,201.321,61.0901,184.78,62.2869,168.002,62.1597,150.794,60.9862,134.202,58.9263,119.063,55.168,105.92,49.9794,50.0,0.57
6,,7.0,1321.18,423.14,1231.26,356.818,1145.25,335.38,1073.29,299.212,1006.58,276.85,940.4,257.478,876.654,241.238,820.489,228.447,766.038,216.458,715.242,203.977,665.54,188.602,617.682,175.476,574.757,160.856,536.528,147.194,501.826,133.786,470.289,120.692,442.783,109.361,418.145,98.769,396.164,89.3063,376.275,82.0368,357.61,75.8226,340.748,70.9269,325.665,67.4118,310.221,64.8719,295.27,64.2503,280.228,63.7692,265.226,64.2144,249.195,65.1511,233.453,66.9782,215.946,67.5106,198.613,68.0664,180.239,67.0381,162.683,65.4003,144.788,62.2609,127.794,57.9814,114.93,51.5897,50.0,0.57
7,,8.0,1464.99,467.245,1374.93,398.168,1266.75,367.181,1189.24,332.715,1111.41,309.779,1041.5,287.964,973.279,270.665,904.287,256.417,841.023,241.395,785.068,225.9,728.475,210.101,680.513,194.099,633.389,178.351,591.83,162.539,553.912,147.612,520.395,133.186,490.059,120.454,463.278,108.528,439.47,98.8972,417.908,91.0059,397.547,84.1861,379.249,78.9794,361.751,75.4545,344.2,73.8752,327.044,72.547,310.497,72.1669,292.102,72.953,274.706,74.244,255.149,74.838,235.24,75.7438,215.055,75.3986,194.183,74.0653,174.186,71.1385,155.215,67.7367,138.521,63.1084,124.915,59.5851,50.0,0.55
8,,9.0,1557.88,486.435,1476.21,440.862,1357.9,387.527,1274.5,360.593,1189.3,336.965,1116.47,314.167,1038.12,293.141,963.393,274.62,896.159,258.97,836.075,244.937,778.737,225.461,724.005,208.884,673.788,190.543,628.248,173.414,587.424,156.362,551.271,141.379,519.483,127.69,490.282,115.24,464.804,105.071,441.972,96.3541,420.279,89.9974,400.741,84.5118,381.639,81.1155,362.555,78.7965,343.895,78.0604,324.325,77.6863,305.575,78.8702,285.83,79.3334,264.989,80.1345,243.853,80.0177,222.829,79.1922,201.739,77.4945,181.816,74.426,162.733,69.9698,145.461,65.4108,127.481,58.241,50.0,0.55
9,,10.0,1630.25,495.794,1498.83,443.703,1418.34,412.422,1311.14,369.028,1224.92,341.252,1148.15,323.291,1070.95,305.365,996.305,288.384,925.611,270.429,861.447,252.025,800.382,232.022,742.803,213.694,693.904,195.169,648.706,177.562,608.409,160.23,572.061,145.138,539.779,130.625,511.32,118.669,484.689,108.247,460.959,99.7552,439.037,93.1762,418.647,88.3404,399.199,85.0296,378.998,83.7006,359.46,82.8253,339.595,83.2379,319.001,83.7374,298.031,84.3143,275.422,85.3563,252.707,85.1401,230.455,83.2882,207.89,80.9494,186.626,76.6517,166.18,72.3692,148.748,66.4227,133.218,59.0559,50.0,0.54
10,,11.0,2783.09,859.372,2607.95,748.688,2411.79,712.39,2254.77,651.486,2098.75,616.344,1953.99,583.159,1811.37,552.996,1667.11,524.108,1533.69,494.371,1409.65,467.11,1301.58,437.023,1196.96,400.02,1099.71,370.824,1012.37,337.739,933.792,304.738,863.977,274.882,801.654,246.624,747.077,220.754,698.032,198.633,654.515,179.016,615.431,162.229,580.179,149.639,547.53,139.054,516.764,132.28,486.989,127.068,457.331,124.195,427.872,123.617,397.847,123.045,365.778,122.903,334.237,123.043,302.055,121.674,269.693,118.788,238.253,115.006,207.467,109.129,178.584,101.542,148.856,86.6376,50.0,0.54
11,,21.0,1907.04,561.194,1802.79,497.634,1665.26,458.903,1569.16,420.282,1470.86,394.621,1384.87,369.045,1292.3,345.676,1209.43,327.49,1132.53,309.798,1060.75,290.622,989.991,266.944,925.824,247.972,866.92,226.626,812.883,207.709,764.949,189.346,722.003,172.641,682.297,158.246,646.713,145.819,613.767,135.892,583.626,127.98,555.128,123.033,526.92,120.231,499.442,118.591,471.401,119.234,441.619,120.689,410.698,122.496,378.543,122.581,346.216,122.182,312.999,120.031,281.313,116.045,250.946,109.441,223.005,101.573,197.827,93.8898,176.124,85.2728,155.954,77.3113,133.686,69.3635,50.0,0.49
12,,31.0,2172.7,627.438,2048.56,569.578,1903.59,509.043,1780.56,485.238,1666.47,458.613,1555.09,427.366,1456.24,402.358,1355.23,377.176,1257.35,354.142,1170.76,331.8,1089.69,303.88,1017.49,280.811,949.726,255.156,890.129,232.094,836.699,211.966,789.744,193.164,746.612,177.214,707.624,163.923,670.937,153.595,637.882,145.421,605.36,140.709,574.079,137.943,542.281,137.269,509.051,138.371,475.139,140.254,438.704,141.205,401.433,140.695,363.632,138.577,326.172,134.66,290.495,127.462,257.671,119.032,227.611,109.437,201.388,99.012,177.928,89.9353,157.565,80.2428,137.338,75.2004,50.0,0.46
13,,41.0,2557.93,695.841,2382.67,674.748,2254.2,602.548,2076.45,574.946,1933.27,542.202,1798.79,512.449,1675.66,482.257,1566.32,450.775,1455.72,417.358,1348.56,384.859,1256.42,355.739,1169.14,320.852,1093.41,292.873,1025.77,265.566,964.642,241.405,910.563,220.047,862.397,202.722,817.06,188.846,776.222,177.753,736.896,170.572,698.639,165.871,660.465,165.083,621.962,165.594,580.935,168.248,538.596,170.779,494.171,171.832,448.519,171.132,402.515,167.202,357.385,160.513,315.96,150.671,276.606,139.236,242.587,126.457,212.391,113.867,185.824,102.031,163.985,89.8459,144.458,84.3646,50.0,0.45
14,,51.0,2729.54,738.493,2521.26,700.258,2390.09,652.863,2199.56,607.949,2044.56,569.552,1908.8,544.082,1773.46,511.74,1655.72,479.816,1544.41,444.51,1436.3,406.222,1338.48,376.467,1252.75,339.264,1171.57,309.216,1101.13,281.175,1036.97,255.588,979.078,233.966,926.814,215.722,878.603,200.908,834.078,190.864,791.483,183.35,750.451,179.454,707.89,179.212,665.31,180.634,620.341,183.424,572.922,186.669,523.557,187.661,473.079,186.302,422.61,181.42,374.82,173.621,329.333,162.823,287.763,149.941,250.845,135.285,218.596,121.23,191.338,107.624,167.535,95.5597,142.126,82.6616,50.0,0.45
